audio_filepath,duration,sample_rate,text_dialect,text_central,region,speaker_id,utterance_id,is_augmented
audio_data/south/voice_1/voice_1_1.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,False
audio_data/south/voice_1/voice_1_1_aug_1.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_10.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_100.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_11.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_12.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_13.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_14.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_15.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_16.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_17.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_18.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_19.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_2.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_20.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_21.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_22.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_23.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_24.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_25.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_26.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_27.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_28.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_29.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_3.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_30.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_31.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_32.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_33.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_34.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_35.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_36.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_37.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_38.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_39.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_4.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_40.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_41.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_42.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_43.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_44.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_45.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_46.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_47.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_48.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_49.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_5.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_50.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_51.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_52.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_53.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_54.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_55.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_56.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_57.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_58.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_59.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_6.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_60.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_61.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_62.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_63.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
audio_data/south/voice_1/voice_1_1_aug_64.wav,3.2,16000,พันพรือบ้างช่วงนี้,เป็นอย่างไรบ้างช่วงนี้,south,voice_1,voice_1_1,True
